image_path,mask_path,xml_path,class_id,xmin,ymin,xmax,ymax,split
./data/images/beagle_135.jpg,./data/annotations/trimaps/beagle_135.png,./data/annotations/xmls/beagle_135.xml,4,0.5083333333333333,0.12083333333333333,0.8694444444444445,0.5791666666666667,train
./data/images/Siamese_145.jpg,./data/annotations/trimaps/Siamese_145.png,./data/annotations/xmls/Siamese_145.xml,32,0.292,0.11733333333333333,0.738,0.6746666666666666,train
./data/images/newfoundland_18.jpg,./data/annotations/trimaps/newfoundland_18.png,./data/annotations/xmls/newfoundland_18.xml,22,0.216,0.056,0.674,0.6026666666666667,train
./data/images/american_pit_bull_terrier_134.jpg,./data/annotations/trimaps/american_pit_bull_terrier_134.png,./data/annotations/xmls/american_pit_bull_terrier_134.xml,2,0.15333333333333332,0.0873015873015873,0.44333333333333336,0.4246031746031746,train
./data/images/english_cocker_spaniel_15.jpg,./data/annotations/trimaps/english_cocker_spaniel_15.png,./data/annotations/xmls/english_cocker_spaniel_15.xml,12,0.36,0.02702702702702703,0.836,0.7567567567567568,train
./data/images/great_pyrenees_158.jpg,./data/annotations/trimaps/great_pyrenees_158.png,./data/annotations/xmls/great_pyrenees_158.xml,15,0.46,0.35733333333333334,0.634,0.5946666666666667,train
./data/images/shiba_inu_109.jpg,./data/annotations/trimaps/shiba_inu_109.png,./data/annotations/xmls/shiba_inu_109.xml,31,0.45066666666666666,0.252,0.704,0.458,train
./data/images/basset_hound_106.jpg,./data/annotations/trimaps/basset_hound_106.png,./data/annotations/xmls/basset_hound_106.xml,3,0.406,0.33053221288515405,0.584,0.6078431372549019,train
./data/images/english_cocker_spaniel_155.jpg,./data/annotations/trimaps/english_cocker_spaniel_155.png,./data/annotations/xmls/english_cocker_spaniel_155.xml,12,0.372,0.21333333333333335,0.654,0.608,train
./data/images/boxer_175.jpg,./data/annotations/trimaps/boxer_175.png,./data/annotations/xmls/boxer_175.xml,8,0.464,0.13213213213213212,0.616,0.33633633633633636,train
./data/images/american_bulldog_127.jpg,./data/annotations/trimaps/american_bulldog_127.png,./data/annotations/xmls/american_bulldog_127.xml,1,0.308,0.3383233532934132,0.516,0.6407185628742516,train
./data/images/Persian_176.jpg,./data/annotations/trimaps/Persian_176.png,./data/annotations/xmls/Persian_176.xml,23,0.426,0.13550135501355012,0.676,0.4823848238482385,train
./data/images/beagle_111.jpg,./data/annotations/trimaps/beagle_111.png,./data/annotations/xmls/beagle_111.xml,4,0.366,0.17717717717717718,0.878,0.7747747747747747,train
./data/images/Ragdoll_113.jpg,./data/annotations/trimaps/Ragdoll_113.png,./data/annotations/xmls/Ragdoll_113.xml,26,0.206,0.10933333333333334,0.684,0.6533333333333333,train
./data/images/pug_133.jpg,./data/annotations/trimaps/pug_133.png,./data/annotations/xmls/pug_133.xml,25,0.37185929648241206,0.056666666666666664,0.8743718592964824,0.4066666666666667,train
./data/images/yorkshire_terrier_10.jpg,./data/annotations/trimaps/yorkshire_terrier_10.png,./data/annotations/xmls/yorkshire_terrier_10.xml,36,0.21021021021021022,0.118,0.7687687687687688,0.456,train
./data/images/newfoundland_181.jpg,./data/annotations/trimaps/newfoundland_181.png,./data/annotations/xmls/newfoundland_181.xml,22,0.266,0.024024024024024024,0.838,0.9429429429429429,train
./data/images/pug_149.jpg,./data/annotations/trimaps/pug_149.png,./data/annotations/xmls/pug_149.xml,25,0.3333333333333333,0.05928853754940711,0.8033333333333333,0.5335968379446641,train
./data/images/miniature_pinscher_147.jpg,./data/annotations/trimaps/miniature_pinscher_147.png,./data/annotations/xmls/miniature_pinscher_147.xml,21,0.3,0.15555555555555556,0.6366666666666667,0.4488888888888889,train
./data/images/boxer_113.jpg,./data/annotations/trimaps/boxer_113.png,./data/annotations/xmls/boxer_113.xml,8,0.05421686746987952,0.152,0.7951807228915663,0.622,train
